Age,Gender,Country,self_employed,family_history,treatment,work_interfere,no_employees,remote_work,tech_company,benefits,care_options,wellness_program,seek_help,anonymity,leave,mental_health_consequence,phys_health_consequence,coworkers,supervisor,mental_health_interview,phys_health_interview,mental_vs_physical,obs_consequence
29,other,Germany,Yes,Yes,No,Rarely,26-100,No,Yes,Yes,No,Dont know,No,No,Dont know,Yes,No,No,Yes,No,Maybe,Yes,No
39,female,Canada,Yes,No,Yes,Often,26-100,Yes,No,Yes,No,Yes,Yes,Dont know,Very difficult,No,Yes,Some of them,Some of them,No,No,No,No
39,male,Netherlands,Yes,Yes,No,Never,100-500,No,Yes,Dont know,Yes,Yes,Yes,Dont know,Very easy,No,No,Yes,Yes,No,Yes,Dont know,Yes
63,female,Australia,Yes,Yes,Yes,Never,More than 1000,Yes,Yes,No,Yes,Dont know,Dont know,Yes,Somewhat easy,No,Yes,Some of them,Yes,Maybe,Yes,Dont know,Yes
47,female,Sweden,No,No,Yes,Often,26-100,Yes,Yes,Yes,Not sure,Dont know,No,No,Dont know,Maybe,Yes,No,No,Maybe,Maybe,Yes,Yes
55,male,France,No,No,Yes,Never,1-5,No,Yes,No,No,Yes,Dont know,Dont know,Dont know,No,No,Some of them,No,No,Maybe,Yes,Yes
55,male,Germany,No,No,No,Rarely,500-1000,No,No,No,Yes,Yes,No,Yes,Dont know,No,Maybe,Some of them,No,No,Yes,Dont know,No
62,female,Germany,No,No,No,Rarely,1-5,Yes,Yes,Dont know,Yes,Dont know,No,Dont know,Dont know,No,Maybe,Yes,Some of them,Maybe,Yes,No,Yes
25,male,Netherlands,No,No,No,Sometimes,500-1000,No,Yes,Yes,No,No,No,Dont know,Very difficult,No,No,Some of them,Some of them,No,Yes,Yes,No
44,female,Netherlands,No,Yes,Yes,Never,More than 1000,Yes,Yes,Dont know,Yes,Yes,No,Yes,Very easy,Yes,No,No,No,Yes,No,Yes,No
44,male,United Kingdom,No,Yes,Yes,Rarely,100-500,No,Yes,Yes,Not sure,Dont know,No,Yes,Dont know,Yes,Maybe,Some of them,Some of them,Maybe,No,Dont know,Yes
51,female,United Kingdom,No,No,No,Often,26-100,Yes,Yes,No,Not sure,No,Yes,No,Somewhat easy,Yes,Maybe,Some of them,Some of them,No,Maybe,Dont know,Yes
38,other,Canada,No,Yes,Yes,Never,26-100,No,Yes,Yes,No,Yes,Yes,Dont know,Somewhat easy,No,Maybe,Some of them,No,Yes,No,Yes,No
47,female,Canada,No,Yes,Yes,Rarely,26-100,Yes,Yes,Yes,Not sure,Yes,No,No,Somewhat difficult,No,No,No,Yes,Maybe,Maybe,Yes,Yes
50,male,United States,No,Yes,No,Never,More than 1000,No,No,No,Yes,Dont know,Yes,Yes,Dont know,Maybe,Yes,Some of them,Some of them,Maybe,Yes,No,Yes
45,female,Canada,No,No,No,Often,500-1000,Yes,Yes,No,Yes,No,Dont know,Yes,Dont know,Maybe,No,No,Some of them,Yes,Yes,No,Yes
64,female,India,No,Yes,No,Rarely,26-100,Yes,Yes,Yes,Yes,Yes,Dont know,Dont know,Dont know,Maybe,Maybe,Some of them,Yes,Maybe,Maybe,No,Yes
50,male,Netherlands,No,Yes,Yes,Sometimes,1-5,No,Yes,Dont know,Yes,No,Dont know,No,Dont know,No,Yes,Yes,Yes,No,Yes,No,No
22,female,Sweden,No,Yes,Yes,Sometimes,26-100,No,No,Yes,No,No,No,No,Dont know,Yes,No,Yes,Yes,Maybe,Maybe,Yes,No
65,male,India,No,No,Yes,Never,More than 1000,Yes,Yes,No,Not sure,Yes,No,Dont know,Somewhat easy,Yes,Maybe,Yes,No,No,Maybe,Yes,Yes
36,male,Australia,Yes,Yes,Yes,Often,100-500,Yes,Yes,Dont know,Not sure,No,Yes,Dont know,Very easy,Yes,No,No,Yes,Yes,Maybe,Yes,No
21,male,Germany,No,Yes,Yes,Rarely,1-5,Yes,Yes,No,Yes,Yes,Yes,No,Very easy,No,Yes,No,No,Yes,No,No,No
52,male,Canada,Yes,No,No,Often,26-100,Yes,Yes,No,No,No,Yes,Yes,Somewhat difficult,Yes,Maybe,No,Yes,Maybe,Maybe,Yes,Yes
34,male,Germany,No,No,Yes,Rarely,26-100,No,Yes,Dont know,Yes,Yes,Dont know,Yes,Somewhat easy,Maybe,No,Some of them,Yes,Yes,Maybe,Dont know,Yes
61,female,France,No,Yes,Yes,Never,6-25,Yes,Yes,No,Yes,Dont know,Dont know,Dont know,Dont know,Maybe,Yes,No,No,Yes,Maybe,No,No
45,male,United States,Yes,Yes,Yes,Rarely,500-1000,Yes,Yes,No,No,Yes,Dont know,No,Very easy,Yes,Yes,No,No,Maybe,No,Dont know,No
47,female,France,No,No,No,Often,1-5,Yes,Yes,No,No,Yes,Dont know,No,Very difficult,Maybe,No,No,Yes,No,Yes,No,No
46,male,United States,Yes,No,No,Often,6-25,No,Yes,No,Yes,Yes,Yes,No,Very difficult,Yes,Yes,No,Yes,Maybe,No,Yes,Yes
63,male,United Kingdom,Yes,No,No,Never,100-500,Yes,No,No,Not sure,No,No,Yes,Very difficult,Yes,Maybe,Yes,Yes,Maybe,Maybe,No,No
23,male,Germany,Yes,No,Yes,Often,500-1000,No,No,No,Yes,Dont know,No,Yes,Dont know,Maybe,Yes,Some of them,Some of them,No,No,Dont know,No
52,female,United States,No,No,No,Rarely,1-5,No,Yes,No,Not sure,No,Dont know,No,Dont know,Maybe,No,Yes,Yes,No,Yes,No,Yes
58,male,Other,No,No,No,Never,26-100,No,Yes,No,Not sure,No,No,No,Somewhat difficult,Maybe,Maybe,Some of them,No,No,Yes,Dont know,No
54,male,Other,No,No,No,Rarely,1-5,No,Yes,No,No,Yes,No,Dont know,Somewhat difficult,Maybe,Yes,Some of them,Some of them,Maybe,Maybe,Yes,Yes
41,female,Other,Yes,Yes,Yes,Often,26-100,No,Yes,Yes,No,No,No,Dont know,Somewhat difficult,Yes,Yes,Yes,No,No,Yes,Dont know,Yes
46,male,Brazil,Yes,No,No,Never,500-1000,No,No,Yes,Yes,Yes,Dont know,No,Very difficult,Maybe,Maybe,No,Some of them,Yes,No,Yes,No
63,male,India,No,No,Yes,Rarely,26-100,No,Yes,No,Not sure,Dont know,Yes,No,Dont know,Maybe,Maybe,Yes,Some of them,No,No,Dont know,Yes
48,male,United States,No,Yes,Yes,Often,100-500,Yes,Yes,Yes,Not sure,No,Yes,Yes,Very difficult,No,Yes,Some of them,No,Yes,Yes,Yes,Yes
52,female,United States,No,No,No,Often,More than 1000,Yes,Yes,Dont know,Yes,No,No,No,Somewhat difficult,Maybe,Maybe,Some of them,Some of them,No,Maybe,Dont know,No
50,male,India,No,No,Yes,Sometimes,26-100,No,Yes,Yes,Yes,No,Yes,Dont know,Dont know,Maybe,No,No,No,Yes,Maybe,Yes,Yes
38,female,Germany,No,Yes,No,Often,100-500,Yes,Yes,No,Yes,Yes,Yes,Yes,Somewhat easy,Yes,Yes,Yes,Yes,Yes,No,Yes,No
49,male,Germany,Yes,No,Yes,Rarely,More than 1000,Yes,Yes,No,No,Yes,Dont know,Dont know,Very easy,Yes,No,Some of them,Some of them,Yes,Yes,Yes,Yes
40,female,Other,Yes,Yes,No,Never,500-1000,No,Yes,Yes,Yes,No,Dont know,Dont know,Very easy,No,Yes,Yes,No,Yes,No,Dont know,Yes
50,female,India,Yes,Yes,No,Sometimes,500-1000,Yes,Yes,No,Yes,No,No,Yes,Somewhat difficult,Maybe,No,No,Some of them,Yes,No,Dont know,No
20,other,Other,No,Yes,No,Often,1-5,No,Yes,Dont know,Not sure,Dont know,No,Dont know,Very difficult,Maybe,No,No,No,No,No,Yes,No
35,male,France,Yes,Yes,Yes,Often,100-500,Yes,No,Dont know,Yes,Dont know,No,No,Somewhat easy,Maybe,Maybe,Some of them,Yes,Maybe,Maybe,No,No
42,female,Brazil,Yes,No,No,Often,100-500,No,Yes,No,Not sure,Dont know,Dont know,Dont know,Dont know,Maybe,Yes,No,Yes,Maybe,Yes,Yes,Yes
59,male,Sweden,Yes,Yes,Yes,Rarely,6-25,No,No,Dont know,Not sure,Dont know,Yes,Yes,Very difficult,Maybe,Maybe,Some of them,Some of them,Maybe,Yes,No,No
48,male,Australia,Yes,Yes,No,Sometimes,6-25,Yes,Yes,Dont know,No,Dont know,Dont know,Yes,Somewhat difficult,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,Yes,Yes
20,male,Brazil,Yes,No,Yes,Rarely,More than 1000,Yes,Yes,Yes,Yes,Yes,Dont know,Yes,Very difficult,No,Yes,No,No,Maybe,No,Dont know,No
57,female,Germany,No,Yes,Yes,Sometimes,More than 1000,No,Yes,Dont know,Yes,Dont know,Yes,Dont know,Somewhat difficult,Maybe,No,No,No,Yes,No,No,Yes
63,other,Sweden,Yes,Yes,No,Never,6-25,No,No,Yes,Not sure,Dont know,Yes,No,Very easy,Maybe,Yes,Yes,Some of them,No,Maybe,Dont know,No
41,female,United Kingdom,No,Yes,No,Rarely,More than 1000,No,No,No,No,No,No,Yes,Very easy,Maybe,Yes,Yes,No,Yes,Yes,No,Yes
49,male,Canada,No,Yes,No,Rarely,26-100,Yes,Yes,Yes,No,Yes,Yes,No,Very difficult,No,Yes,Some of them,No,No,Maybe,No,No
64,male,Other,No,No,No,Never,6-25,Yes,No,No,Yes,Dont know,Yes,Yes,Somewhat easy,Maybe,Maybe,Yes,No,No,Yes,No,Yes
39,female,United States,No,Yes,No,Sometimes,100-500,Yes,No,No,Not sure,Dont know,Yes,No,Dont know,No,Yes,Some of them,Some of them,No,Yes,No,Yes
40,male,India,No,No,Yes,Often,26-100,Yes,Yes,No,Yes,Dont know,Yes,No,Somewhat difficult,Yes,Yes,No,Yes,No,Yes,Dont know,Yes
19,male,India,Yes,No,No,Never,More than 1000,No,Yes,No,Yes,No,No,No,Dont know,Maybe,Yes,No,Yes,Maybe,No,No,Yes
44,male,United States,Yes,Yes,No,Often,500-1000,No,No,No,Yes,No,No,Yes,Very easy,No,No,Yes,No,No,No,Yes,No
59,male,Other,No,Yes,Yes,Often,1-5,No,No,Yes,Yes,No,Yes,Dont know,Somewhat easy,Yes,No,Some of them,Some of them,No,Maybe,Yes,Yes
19,male,Canada,No,Yes,No,Never,6-25,No,Yes,No,Not sure,Dont know,Yes,Dont know,Somewhat easy,No,No,Some of them,No,Maybe,Maybe,No,No
43,male,Australia,No,Yes,No,Sometimes,500-1000,Yes,No,Dont know,No,No,No,Dont know,Dont know,No,No,Yes,Yes,Yes,No,Dont know,Yes
34,male,Canada,Yes,No,Yes,Often,More than 1000,No,Yes,Dont know,Yes,Dont know,No,No,Very easy,Yes,Maybe,Some of them,No,Yes,Maybe,Dont know,No
57,male,Sweden,No,No,No,Never,100-500,No,Yes,No,Yes,Yes,Yes,Yes,Dont know,Maybe,Maybe,Some of them,Yes,Yes,No,No,Yes
50,other,Canada,Yes,No,No,Rarely,1-5,Yes,Yes,Dont know,Yes,Dont know,Dont know,No,Very difficult,Maybe,Yes,No,Some of them,Yes,No,Dont know,Yes
26,male,Sweden,No,Yes,No,Rarely,500-1000,Yes,Yes,Yes,Yes,No,No,Yes,Somewhat easy,No,Maybe,Some of them,No,No,Yes,Dont know,No
60,male,Canada,Yes,No,Yes,Rarely,1-5,No,Yes,Yes,No,Yes,No,No,Somewhat easy,Yes,No,Some of them,Some of them,Maybe,Yes,Dont know,No
65,female,Australia,No,Yes,No,Never,6-25,Yes,Yes,No,No,Dont know,No,Yes,Very difficult,Maybe,Yes,Some of them,No,Maybe,No,No,Yes
56,male,Australia,Yes,Yes,Yes,Rarely,More than 1000,No,No,No,No,Yes,Yes,Yes,Very easy,No,Yes,Yes,No,Yes,Yes,Yes,No
46,female,Germany,No,Yes,No,Often,100-500,Yes,Yes,No,No,Yes,Yes,Yes,Somewhat easy,Yes,No,Yes,No,Maybe,No,Yes,No
59,female,United States,Yes,Yes,Yes,Rarely,More than 1000,Yes,Yes,Dont know,Yes,Yes,No,No,Somewhat difficult,No,No,Yes,No,No,Yes,Yes,No
43,male,Australia,Yes,Yes,No,Rarely,1-5,No,Yes,Dont know,Not sure,Dont know,Yes,Dont know,Somewhat difficult,Yes,No,Some of them,No,Yes,Maybe,Yes,Yes
52,male,Sweden,Yes,No,Yes,Often,500-1000,Yes,Yes,Yes,No,No,Yes,No,Very easy,Maybe,Maybe,Some of them,Some of them,No,Maybe,Yes,No
42,female,Australia,Yes,No,Yes,Rarely,6-25,No,No,Dont know,No,Dont know,No,No,Very difficult,Maybe,Yes,Yes,Some of them,No,No,Dont know,Yes
41,female,Germany,Yes,Yes,Yes,Often,6-25,Yes,Yes,Yes,Yes,No,Yes,Yes,Dont know,No,No,Yes,Yes,No,No,Dont know,No
30,male,India,Yes,No,Yes,Rarely,More than 1000,Yes,No,Dont know,Yes,Dont know,Dont know,Yes,Very easy,Maybe,Yes,Some of them,No,No,Yes,Dont know,No
24,male,Sweden,Yes,Yes,Yes,Often,500-1000,Yes,Yes,Yes,Yes,Dont know,Yes,Dont know,Dont know,Maybe,Yes,Some of them,Yes,No,Yes,No,Yes
53,male,Germany,No,Yes,Yes,Rarely,500-1000,Yes,Yes,No,Yes,Dont know,Yes,Dont know,Very easy,Yes,Maybe,No,Some of them,Yes,No,Dont know,No
62,other,France,No,Yes,No,Often,1-5,Yes,Yes,Dont know,Not sure,No,No,Yes,Somewhat difficult,Maybe,Yes,Yes,Yes,No,Maybe,Yes,No
37,male,France,No,No,No,Never,More than 1000,No,Yes,Yes,Not sure,Dont know,No,Dont know,Very difficult,Yes,No,Some of them,Some of them,Yes,Maybe,Dont know,No
18,female,United Kingdom,No,Yes,Yes,Often,More than 1000,Yes,Yes,Dont know,No,Yes,Dont know,Dont know,Somewhat difficult,Yes,No,Yes,No,Maybe,No,Yes,No
25,male,Canada,No,Yes,Yes,Rarely,26-100,No,Yes,No,Not sure,Dont know,Yes,Yes,Very difficult,No,Yes,Yes,Yes,No,Maybe,Dont know,No
63,male,United States,Yes,No,Yes,Rarely,More than 1000,Yes,Yes,Yes,No,Yes,Dont know,No,Dont know,Yes,Yes,Yes,Yes,No,No,Yes,No
33,male,Netherlands,Yes,No,Yes,Sometimes,6-25,No,Yes,Dont know,No,No,Dont know,Dont know,Very easy,Maybe,Maybe,No,Yes,Maybe,Yes,Dont know,No
31,male,Brazil,Yes,No,No,Often,1-5,Yes,Yes,Dont know,Not sure,No,No,Yes,Somewhat easy,Yes,No,Some of them,Yes,Yes,Maybe,Yes,Yes
29,male,Germany,Yes,Yes,Yes,Never,500-1000,No,Yes,No,No,Dont know,Yes,Dont know,Somewhat easy,Yes,No,Some of them,No,No,Maybe,Yes,Yes
40,male,India,Yes,Yes,No,Often,More than 1000,No,Yes,No,Yes,Dont know,No,Dont know,Very difficult,No,Yes,Yes,Some of them,Maybe,Yes,No,Yes
32,male,Brazil,No,No,No,Often,1-5,Yes,Yes,Yes,No,Dont know,Dont know,Yes,Very difficult,Maybe,Yes,Some of them,Some of them,Maybe,Yes,Dont know,Yes
45,female,India,No,Yes,Yes,Never,More than 1000,Yes,No,Dont know,Yes,Yes,Dont know,Dont know,Somewhat difficult,Maybe,Yes,No,No,No,Maybe,Yes,Yes
51,male,Brazil,No,No,Yes,Often,500-1000,Yes,Yes,Dont know,Not sure,No,No,Dont know,Somewhat easy,Maybe,No,Yes,Some of them,Yes,Maybe,Dont know,No
19,male,Germany,No,No,No,Never,100-500,No,Yes,No,Not sure,Yes,No,Dont know,Somewhat difficult,Yes,Yes,No,Yes,Yes,No,Yes,Yes
49,other,Netherlands,Yes,Yes,No,Never,500-1000,No,No,No,No,Yes,No,No,Dont know,Maybe,Maybe,No,No,No,No,No,Yes
40,female,Brazil,Yes,Yes,Yes,Often,500-1000,Yes,Yes,Yes,Yes,Dont know,No,No,Somewhat easy,Maybe,Maybe,Some of them,Some of them,Maybe,Maybe,No,No
39,female,Germany,Yes,No,Yes,Often,500-1000,Yes,Yes,Dont know,No,Dont know,No,Dont know,Dont know,Yes,Yes,Some of them,No,No,No,No,Yes
42,other,Australia,No,No,Yes,Rarely,More than 1000,No,Yes,Dont know,Not sure,Yes,Dont know,Yes,Very easy,No,Maybe,No,No,Yes,Yes,No,No
39,male,Netherlands,Yes,No,No,Rarely,26-100,No,Yes,Yes,No,Yes,No,Dont know,Somewhat difficult,No,Maybe,Some of them,Some of them,Maybe,No,Yes,No
39,male,Sweden,No,No,No,Sometimes,500-1000,Yes,No,Yes,No,Dont know,Yes,Dont know,Very difficult,Yes,Maybe,No,Some of them,No,No,Dont know,Yes
59,female,India,Yes,Yes,Yes,Sometimes,6-25,No,No,No,Yes,Dont know,Dont know,No,Somewhat easy,No,Maybe,No,No,Maybe,Maybe,No,Yes
23,female,France,Yes,No,No,Often,6-25,Yes,No,No,Not sure,Yes,Dont know,No,Somewhat difficult,No,Maybe,Yes,No,Yes,No,No,No
32,male,Canada,No,No,No,Never,1-5,Yes,Yes,Yes,No,Dont know,Yes,No,Very difficult,No,No,No,Some of them,Yes,Maybe,No,No
60,female,France,Yes,No,Yes,Sometimes,26-100,Yes,Yes,Yes,Yes,Dont know,Yes,Dont know,Very easy,Maybe,Yes,No,No,Yes,Maybe,Dont know,Yes
54,male,Netherlands,Yes,Yes,Yes,Often,1-5,No,Yes,Dont know,No,Yes,Dont know,Dont know,Somewhat easy,No,Maybe,Some of them,Some of them,No,Maybe,Yes,No
50,male,Sweden,No,Yes,No,Sometimes,6-25,No,Yes,Yes,Yes,Yes,No,Yes,Dont know,Maybe,Yes,Yes,No,Maybe,Yes,Yes,Yes
25,male,India,Yes,No,No,Never,6-25,No,Yes,Yes,Yes,No,Dont know,Dont know,Very easy,No,Maybe,Some of them,No,No,No,Yes,Yes
61,male,Sweden,No,Yes,Yes,Often,100-500,No,Yes,Dont know,No,Yes,Dont know,Dont know,Very difficult,Maybe,No,Yes,No,No,No,Yes,Yes
61,male,Brazil,Yes,Yes,Yes,Never,500-1000,Yes,Yes,Yes,Not sure,Dont know,Yes,No,Somewhat easy,Yes,No,Some of them,Some of them,No,No,Dont know,Yes
22,male,India,Yes,Yes,Yes,Often,6-25,No,Yes,No,Not sure,Yes,Dont know,No,Somewhat easy,Yes,Maybe,No,Yes,No,Maybe,Dont know,No
56,female,Brazil,Yes,No,Yes,Sometimes,More than 1000,Yes,No,No,Yes,Yes,No,No,Very easy,No,Maybe,Yes,Some of them,Maybe,Yes,Dont know,No
21,male,Germany,Yes,No,Yes,Rarely,More than 1000,Yes,No,Dont know,Not sure,Yes,Yes,No,Somewhat easy,Maybe,Maybe,Yes,No,Maybe,Maybe,No,Yes
23,male,Netherlands,Yes,Yes,No,Sometimes,1-5,Yes,Yes,Yes,Yes,No,Dont know,No,Very difficult,Yes,No,Yes,Yes,No,No,Dont know,Yes
62,female,Other,Yes,No,No,Sometimes,1-5,No,Yes,No,Not sure,No,Dont know,Yes,Very easy,Yes,No,Yes,Yes,No,Maybe,Yes,No
49,other,Germany,Yes,No,No,Rarely,500-1000,Yes,Yes,No,No,Dont know,No,Yes,Dont know,Yes,Yes,Some of them,No,Yes,Maybe,Dont know,No
47,female,United Kingdom,Yes,Yes,No,Rarely,500-1000,Yes,No,No,Not sure,No,Dont know,Yes,Very easy,Yes,No,Some of them,Some of them,Yes,No,No,No
64,female,Sweden,No,Yes,Yes,Often,100-500,No,Yes,No,Yes,Yes,Dont know,No,Very easy,No,Maybe,Yes,Yes,Maybe,Maybe,Yes,No
52,female,Other,No,No,Yes,Often,26-100,Yes,Yes,Yes,Yes,No,Dont know,No,Dont know,Maybe,Yes,Yes,Yes,Yes,Maybe,Dont know,No
57,male,Brazil,Yes,Yes,Yes,Never,1-5,No,Yes,Yes,Not sure,Yes,Dont know,No,Very difficult,Yes,No,Yes,Some of them,Maybe,Yes,Yes,Yes
33,male,Australia,Yes,No,No,Never,500-1000,No,Yes,Yes,No,No,No,Yes,Somewhat difficult,No,No,Some of them,Some of them,Maybe,Maybe,Yes,Yes
30,male,Germany,No,No,No,Sometimes,1-5,No,Yes,Yes,Yes,No,Dont know,No,Somewhat difficult,Yes,Maybe,Yes,Yes,Maybe,Yes,Dont know,Yes
59,male,United Kingdom,Yes,Yes,No,Rarely,500-1000,Yes,Yes,No,Yes,No,Dont know,Yes,Dont know,Yes,Yes,Yes,Some of them,Yes,No,Dont know,Yes
47,male,United States,Yes,No,Yes,Never,6-25,No,Yes,Dont know,Yes,Yes,Dont know,No,Very difficult,Yes,No,Yes,Yes,Yes,Yes,No,No
36,female,Other,No,No,No,Sometimes,1-5,No,Yes,Dont know,Yes,No,Yes,Dont know,Somewhat easy,Yes,No,Some of them,No,Maybe,Maybe,Dont know,No
34,male,France,Yes,Yes,Yes,Rarely,6-25,No,Yes,No,Yes,Yes,No,Yes,Dont know,No,Maybe,No,Some of them,Maybe,No,Dont know,Yes
36,male,India,Yes,Yes,Yes,Often,1-5,No,Yes,No,No,Yes,Yes,Dont know,Somewhat difficult,Maybe,Yes,No,Yes,No,Maybe,Dont know,Yes
45,male,United Kingdom,No,Yes,Yes,Sometimes,26-100,Yes,No,Dont know,Not sure,Dont know,Yes,Yes,Very difficult,No,Yes,Some of them,Some of them,Maybe,Maybe,Yes,No
43,female,Netherlands,Yes,No,Yes,Often,100-500,No,Yes,Dont know,No,No,No,No,Very easy,No,Yes,No,Some of them,Maybe,Yes,No,Yes
54,male,Other,Yes,Yes,Yes,Never,More than 1000,Yes,No,No,No,Dont know,Yes,No,Very difficult,No,Yes,Yes,Yes,No,Maybe,Yes,Yes
43,female,Germany,No,Yes,Yes,Never,More than 1000,No,Yes,No,Yes,Dont know,Yes,Dont know,Very difficult,Yes,Maybe,Yes,No,Maybe,Yes,Dont know,No
40,male,Netherlands,Yes,Yes,No,Rarely,More than 1000,Yes,Yes,Yes,No,Yes,Yes,No,Somewhat difficult,Maybe,No,Some of them,Yes,Maybe,No,No,No
26,male,France,No,Yes,Yes,Sometimes,6-25,No,Yes,Yes,Yes,No,No,Yes,Somewhat difficult,Yes,No,Some of them,Some of them,Maybe,No,Dont know,No
29,male,Australia,Yes,No,Yes,Often,500-1000,Yes,Yes,Dont know,No,Yes,Dont know,No,Somewhat easy,No,Yes,No,Yes,No,Maybe,Yes,Yes
18,female,Sweden,Yes,No,No,Rarely,More than 1000,No,Yes,No,Yes,Yes,No,No,Somewhat easy,Yes,Yes,No,Some of them,Yes,Yes,Yes,No
18,male,Sweden,No,Yes,Yes,Never,26-100,Yes,Yes,Dont know,Yes,No,No,Yes,Dont know,Maybe,Yes,Yes,Yes,Maybe,Maybe,Dont know,No
64,female,Netherlands,No,No,No,Never,More than 1000,Yes,Yes,Yes,No,Yes,No,Dont know,Very easy,Maybe,No,Some of them,No,No,Maybe,No,Yes
51,male,Brazil,Yes,Yes,No,Sometimes,1-5,Yes,Yes,Yes,No,No,Yes,Dont know,Somewhat easy,Yes,No,No,No,Maybe,Maybe,Yes,No
49,male,Australia,No,Yes,No,Often,6-25,No,No,Dont know,Not sure,No,Dont know,No,Somewhat difficult,No,Yes,No,No,No,Maybe,Dont know,Yes
65,female,Sweden,No,No,Yes,Sometimes,1-5,Yes,No,Yes,Not sure,Yes,No,Yes,Very difficult,Yes,Maybe,Yes,No,Maybe,Yes,Dont know,Yes
42,female,Australia,Yes,No,Yes,Often,1-5,Yes,Yes,No,Not sure,Yes,No,Dont know,Dont know,No,No,Yes,Yes,No,Maybe,Dont know,Yes
57,female,United Kingdom,Yes,Yes,No,Often,1-5,Yes,No,Dont know,No,Dont know,Dont know,Dont know,Somewhat easy,Maybe,No,Yes,No,Yes,No,No,Yes
62,female,Australia,Yes,Yes,Yes,Sometimes,100-500,Yes,Yes,No,No,Yes,Dont know,No,Very difficult,Yes,Yes,Yes,Yes,Yes,Yes,Dont know,No
18,female,Canada,No,No,Yes,Rarely,100-500,No,Yes,No,Yes,No,Dont know,Yes,Very difficult,Maybe,Maybe,No,Some of them,Yes,Maybe,Dont know,Yes
33,female,France,No,Yes,No,Sometimes,500-1000,Yes,No,Yes,Not sure,Dont know,Yes,Dont know,Somewhat easy,No,Yes,Some of them,Some of them,Maybe,Yes,Yes,No
56,female,Sweden,No,No,No,Sometimes,6-25,Yes,Yes,No,Yes,No,Dont know,No,Very easy,No,Yes,Some of them,Some of them,No,Maybe,Dont know,No
22,female,Australia,No,Yes,Yes,Never,26-100,Yes,Yes,Dont know,Yes,Dont know,Yes,No,Very easy,Yes,Maybe,Yes,No,Maybe,No,No,No
39,female,Netherlands,Yes,Yes,No,Never,26-100,No,Yes,No,Yes,Yes,No,No,Dont know,Yes,Maybe,Yes,No,Maybe,No,Dont know,No
46,male,United States,No,No,No,Sometimes,26-100,Yes,No,No,Yes,Yes,Yes,No,Very easy,Yes,Maybe,No,No,No,No,No,No
20,female,Canada,Yes,No,No,Sometimes,1-5,Yes,No,No,Not sure,Yes,Dont know,Dont know,Dont know,Maybe,No,Yes,Some of them,Maybe,Yes,Dont know,Yes
29,male,Canada,No,No,Yes,Never,100-500,Yes,Yes,No,Yes,No,Yes,Yes,Somewhat difficult,No,Yes,Some of them,Some of them,No,No,Dont know,No
43,female,Brazil,Yes,No,Yes,Often,6-25,Yes,Yes,No,No,Dont know,Dont know,No,Somewhat easy,No,No,Yes,Some of them,No,Maybe,Dont know,Yes
33,female,Australia,Yes,No,Yes,Sometimes,1-5,No,Yes,Yes,No,No,Yes,No,Very difficult,Maybe,Maybe,Some of them,Some of them,Yes,Maybe,No,Yes
54,male,Brazil,Yes,No,No,Rarely,100-500,Yes,Yes,Dont know,No,Dont know,No,Dont know,Dont know,Yes,No,Yes,Yes,Yes,Maybe,Yes,Yes
39,female,Brazil,No,No,Yes,Rarely,100-500,Yes,Yes,Yes,Not sure,Yes,Yes,No,Very easy,Yes,Maybe,Yes,Yes,Yes,Yes,No,No
46,male,United States,Yes,Yes,No,Rarely,More than 1000,No,Yes,Dont know,Yes,No,No,No,Dont know,Maybe,Maybe,Some of them,No,No,Yes,Yes,No
31,male,United Kingdom,Yes,Yes,Yes,Sometimes,More than 1000,No,Yes,Dont know,Not sure,Yes,Dont know,Yes,Dont know,No,Yes,No,No,Yes,No,No,No
45,female,Australia,No,Yes,Yes,Often,6-25,No,Yes,Dont know,Yes,No,No,No,Very easy,No,Yes,No,Some of them,No,Yes,Dont know,No
22,male,Germany,Yes,No,No,Often,6-25,Yes,Yes,Dont know,Not sure,Yes,Dont know,Dont know,Very easy,No,Yes,Yes,Yes,Maybe,Maybe,Dont know,Yes
64,female,Sweden,No,No,Yes,Never,6-25,No,Yes,Dont know,Not sure,No,Dont know,Yes,Somewhat easy,No,No,Yes,Yes,Yes,Maybe,Yes,No
47,female,Brazil,No,No,No,Sometimes,1-5,Yes,No,No,Yes,No,No,Dont know,Very difficult,Maybe,Yes,Some of them,No,No,Maybe,Yes,No
63,male,France,Yes,Yes,Yes,Often,500-1000,No,Yes,Yes,Not sure,Dont know,No,Yes,Somewhat easy,No,Maybe,Some of them,Yes,No,Yes,No,Yes
22,male,India,Yes,No,Yes,Sometimes,6-25,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Somewhat easy,Maybe,Yes,Yes,No,No,Maybe,No,Yes
29,male,France,No,No,No,Never,More than 1000,No,Yes,No,No,Dont know,Yes,No,Very easy,Yes,No,Some of them,Some of them,No,No,Yes,Yes
33,male,United States,Yes,Yes,No,Never,500-1000,Yes,Yes,Dont know,No,Dont know,No,No,Very easy,Maybe,Yes,No,Some of them,Yes,Yes,Yes,Yes
43,other,United States,No,No,No,Never,1-5,No,Yes,Yes,No,Yes,No,No,Very difficult,No,Yes,No,No,Yes,Maybe,No,Yes
