Country,Age,Gender,EdLevel,UndergradMajor,Employment,DevType,YearsCoding,YearsCodingProf,JobSatisfaction,CareerSatisfaction,WorkWeekHrs,WorkRemote,MentalHealth
Other,51,male,Bachelors degree,Engineering,Employed full-time,Back-end developer,6-8 years,3-5 years,Very dissatisfied,Slightly dissatisfied,67,Most of the time,Fair
Spain,46,female,Secondary school,Engineering,Student,Data scientist,12+ years,Not applicable,Very satisfied,Very dissatisfied,73,Sometimes,Prefer not to say
Netherlands,26,female,Masters degree,Other,Employed full-time,Front-end developer,12+ years,9-11 years,Slightly dissatisfied,Very satisfied,24,Never,Good
Canada,37,male,Masters degree,Other,Employed part-time,Data scientist,0-2 years,0-2 years,Slightly satisfied,Very dissatisfied,51,Most of the time,Good
Spain,52,female,Doctoral degree,Computer science,Self-employed,Full-stack developer,6-8 years,6-8 years,Neutral,Slightly dissatisfied,29,Never,Poor
Netherlands,59,male,Secondary school,Computer science,Not employed,Data scientist,12+ years,0-2 years,Slightly satisfied,Very dissatisfied,67,Rarely,Excellent
Germany,43,male,Masters degree,Mathematics,Self-employed,Other,3-5 years,0-2 years,Slightly dissatisfied,Neutral,32,Sometimes,Good
India,52,male,Masters degree,Engineering,Employed part-time,Back-end developer,12+ years,0-2 years,Slightly satisfied,Very satisfied,41,Sometimes,Poor
Brazil,53,male,Secondary school,Engineering,Self-employed,Other,6-8 years,12+ years,Neutral,Neutral,64,Never,Good
France,50,female,Secondary school,Mathematics,Student,Other,6-8 years,6-8 years,Very dissatisfied,Neutral,78,Most of the time,Good
Other,31,male,Doctoral degree,Information systems,Employed full-time,Full-stack developer,9-11 years,6-8 years,Slightly satisfied,Slightly dissatisfied,52,Most of the time,Good
Spain,25,male,Some college,Computer science,Self-employed,Other,6-8 years,0-2 years,Very satisfied,Very satisfied,38,Sometimes,Fair
United Kingdom,45,male,Some college,Computer science,Not employed,Data scientist,3-5 years,12+ years,Very dissatisfied,Slightly satisfied,47,Rarely,Good
Canada,33,male,Masters degree,Other,Employed part-time,Data scientist,12+ years,9-11 years,Very dissatisfied,Slightly dissatisfied,33,Most of the time,Excellent
India,55,male,Masters degree,Computer science,Student,Other,12+ years,3-5 years,Slightly dissatisfied,Slightly satisfied,20,Sometimes,Good
United Kingdom,43,male,Secondary school,Mathematics,Not employed,Data scientist,3-5 years,3-5 years,Slightly dissatisfied,Slightly dissatisfied,64,Sometimes,Good
United Kingdom,31,male,Doctoral degree,Information systems,Employed part-time,Full-stack developer,9-11 years,6-8 years,Slightly satisfied,Very satisfied,66,Never,Excellent
Netherlands,50,male,Doctoral degree,Information systems,Student,Other,12+ years,6-8 years,Very satisfied,Very satisfied,38,Full-time remote,Good
India,28,male,Some college,Mathematics,Employed part-time,Data scientist,3-5 years,6-8 years,Neutral,Neutral,24,Full-time remote,Good
United States,45,male,Some college,Engineering,Student,Other,3-5 years,9-11 years,Very dissatisfied,Neutral,66,Rarely,Good
Australia,41,male,Doctoral degree,Information systems,Employed part-time,Full-stack developer,0-2 years,12+ years,Very satisfied,Slightly dissatisfied,49,Rarely,Good
Germany,48,male,Some college,Other,Employed full-time,Other,12+ years,Not applicable,Slightly dissatisfied,Very dissatisfied,26,Full-time remote,Excellent
Canada,64,male,Some college,Other,Employed full-time,Back-end developer,6-8 years,Not applicable,Very dissatisfied,Neutral,30,Sometimes,Excellent
United States,19,male,Bachelors degree,Information systems,Not employed,Back-end developer,6-8 years,9-11 years,Slightly dissatisfied,Very satisfied,79,Most of the time,Good
France,42,male,Some college,Information systems,Employed full-time,Full-stack developer,3-5 years,3-5 years,Neutral,Very dissatisfied,50,Rarely,Fair
France,28,male,Doctoral degree,Information systems,Student,Data scientist,0-2 years,0-2 years,Slightly dissatisfied,Slightly dissatisfied,76,Most of the time,Good
Germany,58,other,Bachelors degree,Mathematics,Student,Data scientist,9-11 years,0-2 years,Slightly satisfied,Very dissatisfied,39,Full-time remote,Fair
Other,36,male,Bachelors degree,Engineering,Not employed,Front-end developer,9-11 years,0-2 years,Neutral,Very satisfied,70,Never,Poor
Canada,53,female,Doctoral degree,Computer science,Self-employed,Back-end developer,9-11 years,9-11 years,Slightly dissatisfied,Slightly satisfied,21,Sometimes,Good
Brazil,30,male,Some college,Computer science,Employed full-time,Full-stack developer,0-2 years,3-5 years,Neutral,Neutral,45,Rarely,Excellent
United States,37,male,Secondary school,Mathematics,Student,Front-end developer,0-2 years,Not applicable,Slightly dissatisfied,Very satisfied,64,Most of the time,Fair
United Kingdom,61,female,Some college,Information systems,Student,Back-end developer,0-2 years,0-2 years,Slightly dissatisfied,Very satisfied,32,Full-time remote,Good
Canada,64,male,Some college,Information systems,Employed part-time,Back-end developer,12+ years,6-8 years,Slightly dissatisfied,Slightly dissatisfied,31,Full-time remote,Fair
United Kingdom,60,male,Secondary school,Information systems,Self-employed,Front-end developer,9-11 years,Not applicable,Neutral,Very dissatisfied,55,Sometimes,Prefer not to say
Canada,59,male,Some college,Mathematics,Not employed,Back-end developer,12+ years,Not applicable,Very dissatisfied,Very satisfied,39,Full-time remote,Good
Australia,23,male,Secondary school,Mathematics,Employed full-time,Full-stack developer,6-8 years,6-8 years,Very dissatisfied,Slightly dissatisfied,39,Sometimes,Excellent
Australia,26,male,Masters degree,Engineering,Not employed,Back-end developer,9-11 years,0-2 years,Slightly satisfied,Neutral,35,Rarely,Prefer not to say
Netherlands,44,female,Masters degree,Computer science,Student,Front-end developer,0-2 years,12+ years,Very satisfied,Very dissatisfied,34,Full-time remote,Good
United Kingdom,58,male,Bachelors degree,Information systems,Not employed,Full-stack developer,3-5 years,3-5 years,Very dissatisfied,Very satisfied,54,Full-time remote,Good
Spain,39,other,Some college,Mathematics,Employed full-time,Full-stack developer,12+ years,3-5 years,Slightly dissatisfied,Neutral,60,Sometimes,Fair
Germany,50,male,Doctoral degree,Engineering,Student,Data scientist,3-5 years,6-8 years,Very dissatisfied,Slightly dissatisfied,70,Rarely,Excellent
Australia,35,male,Bachelors degree,Other,Not employed,Data scientist,0-2 years,0-2 years,Slightly satisfied,Neutral,57,Rarely,Fair
Australia,47,male,Masters degree,Information systems,Self-employed,Front-end developer,9-11 years,6-8 years,Slightly satisfied,Very dissatisfied,62,Rarely,Excellent
India,40,male,Doctoral degree,Mathematics,Not employed,Back-end developer,3-5 years,Not applicable,Very dissatisfied,Very satisfied,25,Sometimes,Prefer not to say
Spain,28,male,Some college,Mathematics,Employed full-time,Back-end developer,9-11 years,0-2 years,Neutral,Slightly satisfied,33,Most of the time,Good
United States,43,male,Some college,Other,Self-employed,Front-end developer,6-8 years,6-8 years,Slightly satisfied,Very satisfied,68,Never,Poor
Brazil,34,male,Bachelors degree,Computer science,Self-employed,Other,3-5 years,0-2 years,Slightly satisfied,Slightly satisfied,43,Never,Excellent
Germany,24,female,Some college,Information systems,Self-employed,Other,12+ years,12+ years,Slightly satisfied,Very dissatisfied,70,Most of the time,Good
United Kingdom,40,male,Masters degree,Engineering,Self-employed,Back-end developer,3-5 years,12+ years,Slightly satisfied,Slightly satisfied,37,Sometimes,Excellent
United States,62,male,Doctoral degree,Information systems,Employed full-time,Front-end developer,3-5 years,0-2 years,Very dissatisfied,Slightly dissatisfied,67,Most of the time,Excellent
Netherlands,62,female,Doctoral degree,Information systems,Not employed,Data scientist,0-2 years,3-5 years,Very dissatisfied,Very satisfied,48,Never,Good
Australia,54,male,Some college,Engineering,Student,Front-end developer,9-11 years,9-11 years,Slightly satisfied,Neutral,36,Sometimes,Excellent
France,42,male,Bachelors degree,Mathematics,Not employed,Back-end developer,3-5 years,12+ years,Slightly satisfied,Neutral,43,Sometimes,Good
United States,38,male,Bachelors degree,Information systems,Student,Full-stack developer,9-11 years,12+ years,Neutral,Very satisfied,66,Rarely,Good
Australia,58,female,Secondary school,Computer science,Not employed,Other,0-2 years,6-8 years,Neutral,Slightly dissatisfied,29,Never,Fair
France,29,male,Bachelors degree,Information systems,Employed part-time,Front-end developer,3-5 years,12+ years,Slightly dissatisfied,Slightly satisfied,65,Rarely,Good
India,26,male,Secondary school,Computer science,Student,Full-stack developer,6-8 years,0-2 years,Slightly satisfied,Slightly satisfied,71,Most of the time,Excellent
United States,49,male,Bachelors degree,Other,Employed full-time,Front-end developer,0-2 years,9-11 years,Slightly satisfied,Neutral,45,Rarely,Good
United States,22,male,Some college,Engineering,Employed part-time,Full-stack developer,12+ years,12+ years,Slightly dissatisfied,Neutral,63,Rarely,Good
Other,20,female,Masters degree,Mathematics,Not employed,Full-stack developer,9-11 years,6-8 years,Slightly dissatisfied,Slightly satisfied,50,Sometimes,Poor
Spain,44,male,Bachelors degree,Information systems,Employed part-time,Data scientist,9-11 years,0-2 years,Slightly dissatisfied,Very dissatisfied,56,Full-time remote,Good
Brazil,45,male,Some college,Other,Employed part-time,Full-stack developer,9-11 years,3-5 years,Slightly satisfied,Very dissatisfied,67,Most of the time,Good
France,53,male,Bachelors degree,Mathematics,Employed part-time,Back-end developer,0-2 years,0-2 years,Neutral,Neutral,47,Most of the time,Good
Brazil,58,female,Masters degree,Other,Self-employed,Front-end developer,12+ years,3-5 years,Slightly satisfied,Very dissatisfied,47,Full-time remote,Poor
Other,31,male,Bachelors degree,Mathematics,Self-employed,Back-end developer,12+ years,0-2 years,Slightly dissatisfied,Very dissatisfied,78,Most of the time,Fair
Brazil,26,male,Secondary school,Other,Not employed,Full-stack developer,3-5 years,Not applicable,Very dissatisfied,Neutral,41,Most of the time,Fair
United Kingdom,48,female,Doctoral degree,Mathematics,Student,Data scientist,3-5 years,Not applicable,Slightly satisfied,Slightly dissatisfied,47,Full-time remote,Fair
Brazil,47,male,Doctoral degree,Mathematics,Self-employed,Other,9-11 years,Not applicable,Slightly satisfied,Slightly satisfied,27,Never,Excellent
Other,38,male,Secondary school,Other,Employed part-time,Other,0-2 years,0-2 years,Slightly dissatisfied,Slightly dissatisfied,74,Never,Fair
Other,54,male,Masters degree,Other,Employed part-time,Front-end developer,3-5 years,3-5 years,Very dissatisfied,Very satisfied,67,Rarely,Fair
Australia,39,female,Secondary school,Mathematics,Employed part-time,Full-stack developer,12+ years,3-5 years,Very dissatisfied,Very dissatisfied,54,Rarely,Good
France,39,male,Bachelors degree,Engineering,Employed full-time,Front-end developer,3-5 years,0-2 years,Slightly dissatisfied,Neutral,47,Sometimes,Prefer not to say
France,46,female,Secondary school,Computer science,Employed part-time,Other,6-8 years,6-8 years,Slightly satisfied,Slightly satisfied,44,Sometimes,Poor
United States,65,male,Masters degree,Computer science,Student,Back-end developer,3-5 years,12+ years,Neutral,Very dissatisfied,77,Most of the time,Good
United Kingdom,44,male,Secondary school,Computer science,Not employed,Full-stack developer,9-11 years,6-8 years,Neutral,Slightly satisfied,72,Most of the time,Excellent
India,55,female,Some college,Computer science,Not employed,Back-end developer,3-5 years,Not applicable,Neutral,Very satisfied,33,Rarely,Fair
Canada,58,male,Masters degree,Computer science,Employed full-time,Full-stack developer,12+ years,12+ years,Neutral,Slightly dissatisfied,35,Most of the time,Fair
United States,29,male,Secondary school,Other,Employed part-time,Data scientist,9-11 years,3-5 years,Slightly satisfied,Slightly satisfied,80,Sometimes,Good
Australia,61,female,Masters degree,Mathematics,Employed part-time,Back-end developer,6-8 years,3-5 years,Very dissatisfied,Neutral,22,Sometimes,Excellent
Australia,49,female,Masters degree,Other,Employed full-time,Data scientist,12+ years,0-2 years,Slightly dissatisfied,Slightly dissatisfied,68,Rarely,Good
United States,23,male,Masters degree,Other,Employed full-time,Other,0-2 years,9-11 years,Slightly satisfied,Very dissatisfied,62,Never,Good
India,61,male,Masters degree,Computer science,Student,Back-end developer,3-5 years,6-8 years,Slightly satisfied,Very dissatisfied,72,Rarely,Fair
Brazil,20,female,Bachelors degree,Computer science,Employed part-time,Data scientist,3-5 years,12+ years,Slightly satisfied,Neutral,77,Most of the time,Fair
France,58,male,Some college,Information systems,Employed full-time,Full-stack developer,0-2 years,9-11 years,Neutral,Slightly dissatisfied,27,Rarely,Poor
Netherlands,54,male,Bachelors degree,Engineering,Student,Other,6-8 years,9-11 years,Slightly dissatisfied,Neutral,44,Never,Good
Canada,46,female,Masters degree,Mathematics,Student,Back-end developer,3-5 years,3-5 years,Slightly satisfied,Slightly satisfied,55,Never,Good
Other,60,male,Bachelors degree,Information systems,Employed full-time,Other,12+ years,Not applicable,Very satisfied,Very dissatisfied,50,Full-time remote,Good
India,52,male,Masters degree,Engineering,Not employed,Data scientist,6-8 years,0-2 years,Slightly satisfied,Very dissatisfied,26,Rarely,Poor
India,65,male,Masters degree,Mathematics,Employed part-time,Front-end developer,9-11 years,6-8 years,Neutral,Slightly dissatisfied,45,Most of the time,Good
Netherlands,59,male,Bachelors degree,Information systems,Employed part-time,Front-end developer,9-11 years,Not applicable,Very satisfied,Very satisfied,25,Sometimes,Fair
Australia,27,female,Some college,Engineering,Employed full-time,Full-stack developer,9-11 years,6-8 years,Very dissatisfied,Very satisfied,51,Sometimes,Poor
India,32,male,Doctoral degree,Mathematics,Employed part-time,Full-stack developer,0-2 years,9-11 years,Slightly dissatisfied,Very dissatisfied,54,Never,Fair
Netherlands,38,male,Bachelors degree,Information systems,Student,Other,12+ years,0-2 years,Very dissatisfied,Slightly satisfied,62,Full-time remote,Fair
Germany,27,male,Some college,Computer science,Not employed,Data scientist,12+ years,Not applicable,Slightly dissatisfied,Slightly dissatisfied,45,Never,Fair
India,54,male,Doctoral degree,Information systems,Employed full-time,Other,9-11 years,3-5 years,Slightly dissatisfied,Slightly satisfied,65,Rarely,Good
India,46,female,Doctoral degree,Other,Employed full-time,Back-end developer,9-11 years,Not applicable,Very dissatisfied,Very satisfied,30,Never,Excellent
Spain,51,male,Secondary school,Other,Not employed,Full-stack developer,6-8 years,12+ years,Very dissatisfied,Slightly satisfied,55,Never,Excellent
Other,45,male,Secondary school,Mathematics,Employed full-time,Full-stack developer,12+ years,0-2 years,Neutral,Very satisfied,55,Never,Prefer not to say
Germany,55,male,Secondary school,Other,Employed part-time,Full-stack developer,9-11 years,3-5 years,Neutral,Neutral,55,Most of the time,Good
Other,45,male,Some college,Engineering,Employed full-time,Front-end developer,0-2 years,3-5 years,Very satisfied,Very dissatisfied,40,Most of the time,Excellent
United Kingdom,34,male,Some college,Mathematics,Employed full-time,Other,6-8 years,0-2 years,Slightly dissatisfied,Very satisfied,31,Sometimes,Fair
United Kingdom,37,male,Masters degree,Mathematics,Not employed,Data scientist,0-2 years,3-5 years,Very satisfied,Slightly dissatisfied,47,Rarely,Good
Germany,40,female,Masters degree,Computer science,Employed part-time,Front-end developer,9-11 years,0-2 years,Slightly satisfied,Slightly satisfied,69,Full-time remote,Excellent
France,48,other,Masters degree,Other,Employed full-time,Front-end developer,12+ years,3-5 years,Slightly dissatisfied,Slightly satisfied,41,Most of the time,Fair
India,52,female,Secondary school,Engineering,Student,Front-end developer,3-5 years,6-8 years,Very satisfied,Slightly satisfied,51,Full-time remote,Fair
Canada,32,male,Secondary school,Mathematics,Self-employed,Data scientist,0-2 years,12+ years,Slightly satisfied,Slightly dissatisfied,70,Most of the time,Fair
Spain,30,male,Bachelors degree,Mathematics,Employed part-time,Other,9-11 years,3-5 years,Slightly satisfied,Very dissatisfied,75,Sometimes,Prefer not to say
United States,32,female,Secondary school,Other,Not employed,Full-stack developer,9-11 years,0-2 years,Very satisfied,Slightly satisfied,50,Full-time remote,Good
Other,30,male,Secondary school,Information systems,Employed part-time,Data scientist,0-2 years,6-8 years,Slightly satisfied,Very satisfied,36,Full-time remote,Excellent
Brazil,65,male,Secondary school,Information systems,Employed full-time,Data scientist,0-2 years,0-2 years,Very satisfied,Very satisfied,41,Never,Good
United Kingdom,64,male,Bachelors degree,Computer science,Not employed,Full-stack developer,3-5 years,0-2 years,Very satisfied,Very dissatisfied,21,Rarely,Excellent
United Kingdom,56,male,Bachelors degree,Engineering,Student,Data scientist,6-8 years,0-2 years,Slightly satisfied,Neutral,80,Sometimes,Excellent
United Kingdom,55,male,Secondary school,Computer science,Employed part-time,Front-end developer,0-2 years,3-5 years,Neutral,Neutral,28,Full-time remote,Good
India,20,male,Some college,Engineering,Self-employed,Back-end developer,12+ years,0-2 years,Slightly dissatisfied,Slightly dissatisfied,59,Rarely,Excellent
Other,47,male,Masters degree,Mathematics,Self-employed,Front-end developer,6-8 years,0-2 years,Slightly dissatisfied,Very dissatisfied,28,Full-time remote,Good
India,54,male,Bachelors degree,Engineering,Student,Other,12+ years,9-11 years,Very satisfied,Neutral,78,Rarely,Good
India,48,male,Secondary school,Other,Employed part-time,Other,0-2 years,12+ years,Slightly dissatisfied,Very dissatisfied,62,Sometimes,Good
Netherlands,59,male,Masters degree,Mathematics,Self-employed,Data scientist,9-11 years,12+ years,Very dissatisfied,Very satisfied,65,Most of the time,Good
Brazil,26,male,Bachelors degree,Information systems,Employed full-time,Full-stack developer,9-11 years,12+ years,Slightly dissatisfied,Neutral,56,Sometimes,Good
France,33,female,Secondary school,Mathematics,Employed full-time,Front-end developer,6-8 years,6-8 years,Very satisfied,Slightly satisfied,27,Sometimes,Prefer not to say
Netherlands,35,female,Bachelors degree,Mathematics,Self-employed,Data scientist,6-8 years,12+ years,Neutral,Slightly dissatisfied,25,Rarely,Good
Spain,36,female,Bachelors degree,Information systems,Employed full-time,Data scientist,9-11 years,0-2 years,Slightly dissatisfied,Very dissatisfied,47,Full-time remote,Excellent
United Kingdom,20,male,Bachelors degree,Information systems,Not employed,Full-stack developer,6-8 years,3-5 years,Neutral,Very satisfied,31,Full-time remote,Good
India,50,female,Masters degree,Computer science,Student,Back-end developer,9-11 years,3-5 years,Very dissatisfied,Very satisfied,60,Rarely,Good
Netherlands,28,male,Bachelors degree,Mathematics,Student,Back-end developer,3-5 years,0-2 years,Slightly dissatisfied,Slightly dissatisfied,74,Never,Good
Other,65,male,Secondary school,Engineering,Not employed,Back-end developer,12+ years,12+ years,Very dissatisfied,Neutral,67,Sometimes,Fair
Brazil,57,other,Secondary school,Mathematics,Employed part-time,Data scientist,6-8 years,6-8 years,Neutral,Very dissatisfied,64,Never,Excellent
India,48,male,Some college,Mathematics,Self-employed,Full-stack developer,12+ years,3-5 years,Neutral,Very satisfied,29,Never,Poor
Spain,64,male,Bachelors degree,Mathematics,Not employed,Back-end developer,3-5 years,3-5 years,Slightly satisfied,Very dissatisfied,46,Full-time remote,Good
Canada,33,male,Secondary school,Mathematics,Self-employed,Full-stack developer,9-11 years,12+ years,Neutral,Very satisfied,35,Sometimes,Excellent
Canada,58,female,Bachelors degree,Engineering,Self-employed,Front-end developer,6-8 years,0-2 years,Slightly satisfied,Neutral,34,Rarely,Fair
Other,45,male,Secondary school,Computer science,Employed full-time,Other,9-11 years,6-8 years,Very satisfied,Very dissatisfied,31,Never,Good
Australia,42,male,Bachelors degree,Information systems,Self-employed,Front-end developer,9-11 years,Not applicable,Very dissatisfied,Slightly satisfied,61,Most of the time,Fair
France,40,female,Secondary school,Engineering,Student,Data scientist,12+ years,9-11 years,Very dissatisfied,Slightly dissatisfied,31,Never,Good
Other,54,male,Doctoral degree,Engineering,Employed part-time,Full-stack developer,0-2 years,3-5 years,Neutral,Slightly dissatisfied,58,Full-time remote,Fair
United Kingdom,50,male,Bachelors degree,Computer science,Not employed,Data scientist,0-2 years,12+ years,Slightly dissatisfied,Very satisfied,76,Rarely,Good
India,41,female,Masters degree,Engineering,Employed part-time,Back-end developer,12+ years,9-11 years,Slightly satisfied,Very dissatisfied,47,Rarely,Good
Spain,40,male,Secondary school,Engineering,Self-employed,Back-end developer,12+ years,Not applicable,Slightly satisfied,Very dissatisfied,57,Most of the time,Good
Canada,42,male,Some college,Engineering,Student,Back-end developer,0-2 years,3-5 years,Slightly satisfied,Very dissatisfied,40,Sometimes,Fair
Spain,34,male,Masters degree,Engineering,Employed full-time,Full-stack developer,9-11 years,0-2 years,Slightly satisfied,Slightly satisfied,73,Never,Excellent
Germany,38,male,Doctoral degree,Other,Not employed,Other,0-2 years,6-8 years,Very dissatisfied,Slightly dissatisfied,36,Most of the time,Good
United Kingdom,45,male,Bachelors degree,Computer science,Self-employed,Front-end developer,6-8 years,3-5 years,Neutral,Very dissatisfied,48,Never,Prefer not to say
Other,56,male,Secondary school,Other,Employed full-time,Back-end developer,12+ years,0-2 years,Slightly dissatisfied,Neutral,43,Sometimes,Good
Spain,58,male,Doctoral degree,Information systems,Employed part-time,Data scientist,3-5 years,6-8 years,Very satisfied,Slightly dissatisfied,22,Sometimes,Fair
Germany,28,male,Doctoral degree,Information systems,Not employed,Other,9-11 years,Not applicable,Very satisfied,Very dissatisfied,51,Rarely,Fair
France,57,female,Bachelors degree,Other,Student,Front-end developer,9-11 years,6-8 years,Very satisfied,Neutral,69,Full-time remote,Good
Netherlands,46,male,Masters degree,Information systems,Student,Other,0-2 years,12+ years,Slightly dissatisfied,Slightly satisfied,77,Most of the time,Good
Spain,31,male,Some college,Mathematics,Self-employed,Full-stack developer,12+ years,Not applicable,Slightly dissatisfied,Very dissatisfied,76,Rarely,Good
Germany,50,male,Bachelors degree,Mathematics,Student,Full-stack developer,3-5 years,6-8 years,Neutral,Slightly satisfied,24,Rarely,Good
Australia,54,male,Secondary school,Computer science,Not employed,Data scientist,0-2 years,3-5 years,Slightly dissatisfied,Neutral,51,Sometimes,Fair
India,58,male,Some college,Mathematics,Employed full-time,Back-end developer,0-2 years,Not applicable,Slightly satisfied,Slightly dissatisfied,36,Rarely,Good
Spain,18,male,Doctoral degree,Other,Student,Front-end developer,3-5 years,9-11 years,Slightly satisfied,Slightly satisfied,35,Full-time remote,Excellent
Other,48,male,Doctoral degree,Mathematics,Not employed,Other,6-8 years,6-8 years,Slightly satisfied,Slightly satisfied,67,Full-time remote,Fair
Brazil,23,male,Some college,Other,Student,Full-stack developer,12+ years,Not applicable,Slightly satisfied,Neutral,71,Never,Good
France,41,male,Bachelors degree,Computer science,Self-employed,Full-stack developer,3-5 years,3-5 years,Slightly dissatisfied,Neutral,79,Rarely,Poor
Canada,61,male,Doctoral degree,Computer science,Student,Data scientist,12+ years,9-11 years,Neutral,Very satisfied,42,Full-time remote,Excellent
United Kingdom,52,male,Bachelors degree,Other,Employed full-time,Back-end developer,0-2 years,9-11 years,Slightly satisfied,Very satisfied,65,Sometimes,Excellent
Netherlands,20,other,Some college,Mathematics,Employed full-time,Full-stack developer,3-5 years,3-5 years,Slightly satisfied,Slightly dissatisfied,30,Full-time remote,Fair
Spain,56,male,Doctoral degree,Information systems,Student,Full-stack developer,0-2 years,6-8 years,Slightly dissatisfied,Very satisfied,78,Most of the time,Fair
India,53,male,Secondary school,Other,Self-employed,Full-stack developer,6-8 years,6-8 years,Very dissatisfied,Slightly dissatisfied,57,Never,Prefer not to say
India,22,male,Some college,Mathematics,Not employed,Full-stack developer,6-8 years,9-11 years,Slightly satisfied,Very dissatisfied,32,Never,Good
Brazil,20,male,Some college,Information systems,Employed part-time,Data scientist,6-8 years,Not applicable,Very dissatisfied,Very dissatisfied,43,Full-time remote,Good
United States,28,male,Bachelors degree,Other,Employed full-time,Back-end developer,6-8 years,0-2 years,Slightly satisfied,Very satisfied,66,Never,Fair
Netherlands,34,male,Doctoral degree,Other,Employed part-time,Other,3-5 years,12+ years,Slightly satisfied,Slightly satisfied,50,Never,Good
United States,39,male,Some college,Computer science,Self-employed,Front-end developer,3-5 years,12+ years,Very satisfied,Very satisfied,33,Never,Good
Netherlands,31,male,Some college,Computer science,Student,Other,0-2 years,3-5 years,Very satisfied,Slightly dissatisfied,75,Most of the time,Excellent
Germany,24,male,Bachelors degree,Information systems,Student,Other,12+ years,12+ years,Slightly satisfied,Slightly satisfied,40,Rarely,Fair
Brazil,44,male,Secondary school,Mathematics,Not employed,Data scientist,9-11 years,0-2 years,Slightly dissatisfied,Slightly satisfied,49,Most of the time,Good
Canada,32,male,Masters degree,Computer science,Employed part-time,Other,0-2 years,3-5 years,Very dissatisfied,Slightly dissatisfied,35,Full-time remote,Fair
Other,56,male,Doctoral degree,Information systems,Student,Full-stack developer,9-11 years,0-2 years,Very satisfied,Neutral,67,Sometimes,Good
Germany,24,female,Bachelors degree,Information systems,Employed full-time,Data scientist,0-2 years,9-11 years,Neutral,Neutral,23,Most of the time,Poor
United Kingdom,48,female,Secondary school,Engineering,Self-employed,Data scientist,6-8 years,3-5 years,Very satisfied,Slightly satisfied,59,Rarely,Good
United States,32,female,Doctoral degree,Engineering,Employed full-time,Back-end developer,9-11 years,6-8 years,Slightly satisfied,Slightly satisfied,71,Never,Fair
India,54,male,Secondary school,Engineering,Employed part-time,Data scientist,3-5 years,6-8 years,Very dissatisfied,Slightly dissatisfied,80,Rarely,Excellent
France,30,other,Masters degree,Other,Employed full-time,Data scientist,3-5 years,3-5 years,Slightly dissatisfied,Very dissatisfied,73,Most of the time,Good
Other,57,male,Bachelors degree,Computer science,Employed full-time,Other,9-11 years,0-2 years,Slightly dissatisfied,Neutral,54,Sometimes,Fair
Other,20,male,Secondary school,Mathematics,Employed part-time,Data scientist,12+ years,6-8 years,Slightly dissatisfied,Very satisfied,63,Never,Fair
Germany,36,male,Bachelors degree,Engineering,Student,Other,9-11 years,6-8 years,Very satisfied,Slightly dissatisfied,56,Sometimes,Excellent
Australia,18,female,Some college,Computer science,Employed part-time,Front-end developer,3-5 years,3-5 years,Slightly dissatisfied,Very satisfied,47,Full-time remote,Prefer not to say
Canada,55,male,Masters degree,Mathematics,Self-employed,Data scientist,6-8 years,3-5 years,Neutral,Very dissatisfied,72,Never,Fair
France,51,male,Secondary school,Mathematics,Not employed,Data scientist,12+ years,Not applicable,Slightly dissatisfied,Neutral,47,Sometimes,Good
Germany,54,female,Secondary school,Mathematics,Employed part-time,Other,3-5 years,Not applicable,Slightly dissatisfied,Slightly satisfied,61,Never,Fair
Australia,38,male,Secondary school,Other,Student,Full-stack developer,3-5 years,3-5 years,Very satisfied,Very dissatisfied,51,Never,Poor
Brazil,52,male,Masters degree,Engineering,Not employed,Front-end developer,12+ years,9-11 years,Very dissatisfied,Very dissatisfied,61,Never,Good
Brazil,59,female,Masters degree,Computer science,Not employed,Front-end developer,0-2 years,9-11 years,Slightly satisfied,Very dissatisfied,69,Rarely,Good
United Kingdom,34,female,Doctoral degree,Computer science,Student,Front-end developer,12+ years,12+ years,Very dissatisfied,Very dissatisfied,50,Never,Excellent
Spain,30,male,Masters degree,Computer science,Student,Data scientist,3-5 years,Not applicable,Very dissatisfied,Neutral,51,Sometimes,Good
Other,39,male,Masters degree,Other,Not employed,Full-stack developer,9-11 years,9-11 years,Neutral,Very dissatisfied,78,Most of the time,Good
France,42,male,Doctoral degree,Computer science,Self-employed,Full-stack developer,9-11 years,3-5 years,Slightly dissatisfied,Very dissatisfied,34,Most of the time,Good
Australia,22,male,Masters degree,Other,Self-employed,Back-end developer,9-11 years,0-2 years,Very satisfied,Slightly dissatisfied,60,Most of the time,Good
United States,58,other,Bachelors degree,Computer science,Employed part-time,Front-end developer,3-5 years,3-5 years,Neutral,Slightly dissatisfied,50,Sometimes,Fair
Brazil,18,male,Some college,Mathematics,Self-employed,Front-end developer,12+ years,3-5 years,Slightly satisfied,Slightly satisfied,74,Most of the time,Excellent
Germany,44,male,Bachelors degree,Other,Student,Front-end developer,0-2 years,0-2 years,Very dissatisfied,Slightly dissatisfied,59,Full-time remote,Fair
Australia,49,male,Bachelors degree,Engineering,Employed full-time,Front-end developer,0-2 years,6-8 years,Very dissatisfied,Very dissatisfied,59,Rarely,Good
United States,35,male,Some college,Engineering,Self-employed,Full-stack developer,9-11 years,12+ years,Very satisfied,Very dissatisfied,68,Rarely,Good
United Kingdom,30,male,Secondary school,Computer science,Student,Other,3-5 years,Not applicable,Slightly satisfied,Slightly dissatisfied,41,Sometimes,Good
